A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	Autotransporter adhesin UpaG
Q28F07	PGA_scaffold201366__1_contigs__length_10653:4715-10477	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28F07	PGA_scaffold201367__1_contigs__length_10653:176-5938	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28F07	PGA_scaffold204414__1_contigs__length_10930:4751-10653	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28F07	PGA_scaffold204415__1_contigs__length_10930:277-6179	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28F07	PGA_scaffold204416__1_contigs__length_10653:4715-10477	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28F07	PGA_scaffold204417__1_contigs__length_10653:176-5938	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 2) (Histone-arginine N-methyltransferase PRMT1)
Q28GL2	PGA_scaffold184918__1_contigs__length_3753:3059-3224	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold184921__1_contigs__length_3975:3284-3449	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold184924__1_contigs__length_3753:529-694	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold184927__1_contigs__length_3975:526-691	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold189585__1_contigs__length_3753:3059-3224	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold189588__1_contigs__length_3975:3284-3449	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold189591__1_contigs__length_3753:529-694	Protein kish-B (Transmembrane protein 167B)
Q28GL2	PGA_scaffold189594__1_contigs__length_3975:526-691	Protein kish-B (Transmembrane protein 167B)
Q28HM1	PGA_scaffold52880__1_contigs__length_17400:1955-10245	Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)
Q28I33	PGA_scaffold62425__1_contigs__length_17447:5204-15212	Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-)
Q28ID3	PGA_scaffold12__71_contigs__length_50438331:21732212-21753446	Glutaredoxin-3 (Thioredoxin-like protein 2)
Q28IE5	PGA_scaffold12__71_contigs__length_50438331:3013386-3014238	Omega-amidase NIT2 (EC 3.5.1.3) (Nitrilase homolog 2)
Q28XE2	PGA_scaffold18__69_contigs__length_27737463:19597796-19608732	Acidic leucine-rich nuclear phosphoprotein 32 family member A
Q28XY0	PGA_scaffold3__111_contigs__length_57743597:7291042-7302851	Pre-mRNA-splicing regulator female-lethal(2)D
Q29042	PGA_scaffold51623__1_contigs__length_4467:978-1068	Ficolin-1 (Ficolin-A) (Ficolin-alpha)
Q29042	PGA_scaffold53967__1_contigs__length_6884:7-358	Ficolin-1 (Ficolin-A) (Ficolin-alpha)
Q29076	PGA_scaffold299768__1_contigs__length_5366:1128-3905	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
Q29076	PGA_scaffold299769__1_contigs__length_5329:1128-3905	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
Q29076	PGA_scaffold299770__1_contigs__length_5366:1461-4238	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
Q29076	PGA_scaffold299771__1_contigs__length_5329:1424-4201	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
Q29076	PGA_scaffold62581__1_contigs__length_4137:1586-2300	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)
Q29125	PGA_scaffold63144__1_contigs__length_70359:46120-46483	Elafin (Protein WAP-1)
Q29293	PGA_scaffold44022__1_contigs__length_41140:29018-29734	60S ribosomal protein L3 (Fragment)
Q29419	PGA_scaffold67580__1_contigs__length_24740:16165-18753	Zinc finger Y-chromosomal protein (Fragment)
Q29428	PGA_scaffold137945__1_contigs__length_6398:52-181	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold137946__1_contigs__length_5544:52-181	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold137947__1_contigs__length_6398:6217-6346	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold137948__1_contigs__length_5544:5363-5492	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold141567__1_contigs__length_6398:6217-6346	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold141568__1_contigs__length_5544:5363-5492	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold141569__1_contigs__length_6398:52-181	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29428	PGA_scaffold141570__1_contigs__length_5544:52-181	Trophoblast Kunitz domain protein 1 (TKDP-1)
Q29448	PGA_scaffold91475__1_contigs__length_8544:2330-6813	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold91477__1_contigs__length_8544:1731-6214	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold91481__1_contigs__length_8555:2280-6748	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold91486__1_contigs__length_8555:1807-6275	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold94951__1_contigs__length_8544:2330-6813	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold94953__1_contigs__length_8555:2280-6748	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold94956__1_contigs__length_8544:1731-6214	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29448	PGA_scaffold94958__1_contigs__length_8555:1807-6275	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q29476	PGA_scaffold134250__1_contigs__length_3675:466-1619	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold134252__1_contigs__length_3675:2056-3209	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold160773__1_contigs__length_3675:466-1619	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold160775__1_contigs__length_3675:2056-3209	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold298285__1_contigs__length_23557:5236-7228	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold298287__1_contigs__length_23557:16329-18321	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29476	PGA_scaffold4__129_contigs__length_65288255:52946889-52953879	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)
Q29496	PGA_scaffold28605__1_contigs__length_4657:21-2230	Cytochrome P450 3A24 (EC 1.14.14.1) (CYPIIIA24)
Q29496	PGA_scaffold44402__1_contigs__length_5149:495-5128	Cytochrome P450 3A24 (EC 1.14.14.1) (CYPIIIA24)
Q29529	PGA_scaffold64143__1_contigs__length_2352:825-1203	Carbonyl reductase [NADPH] 2 (EC 1.1.1.184) (Lung carbonyl reductase) (LCR) (NADPH-dependent carbonyl reductase 2)
Q29550	PGA_scaffold16640__1_contigs__length_11658:6266-9555	Liver carboxylesterase (EC 3.1.1.1) (Proline-beta-naphthylamidase) (Retinyl ester hydrolase) (REH)
Q297K8	PGA_scaffold3__111_contigs__length_57743597:10734656-10740811	Protein jagunal
Q299G2	PGA_scaffold4__129_contigs__length_65288255:51259635-51268609	Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1)
Q29AK2	PGA_scaffold6__104_contigs__length_61759565:43249437-43251201	Leishmanolysin-like peptidase (EC 3.4.24.-)
Q29IK4	PGA_scaffold4__129_contigs__length_65288255:38443077-38463133	39S ribosomal protein L22, mitochondrial (L22mt) (MRP-L22)
Q29J90	PGA_scaffold6__104_contigs__length_61759565:6584794-6585931	G-protein coupled receptor moody
Q29R99	PGA_scaffold49425__1_contigs__length_16630:14949-16319	Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)
Q29RI9	PGA_scaffold39559__1_contigs__length_6552:2731-5784	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta)
Q29RL1	PGA_scaffold12__71_contigs__length_50438331:29714283-29723267	Cilia- and flagella-associated protein 206
Q29S22	PGA_scaffold20877__1_contigs__length_2845:0-408	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)
Q29S22	PGA_scaffold60995__1_contigs__length_26877:2953-3589	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)
Q2EG98	PGA_scaffold279697__1_contigs__length_1266:556-1169	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EG98	PGA_scaffold279709__1_contigs__length_1266:97-710	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EG98	PGA_scaffold64664__1_contigs__length_5645:1404-2069	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EG98	PGA_scaffold64664__1_contigs__length_5645:218-965	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EG98	PGA_scaffold78340__1_contigs__length_2380:662-1739	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EG98	PGA_scaffold78341__1_contigs__length_2380:641-1718	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)
Q2EGP9	PGA_scaffold253832__1_contigs__length_4782:76-2353	Protein archease
Q2EGP9	PGA_scaffold253833__1_contigs__length_5037:97-2446	Protein archease
Q2EGP9	PGA_scaffold253834__1_contigs__length_4782:2429-4706	Protein archease
Q2EGP9	PGA_scaffold253835__1_contigs__length_5037:2591-4940	Protein archease
Q2EI21	PGA_scaffold6__104_contigs__length_61759565:8633515-8645304	RE1-silencing transcription factor A (Neural-restrictive silencer factor A)
Q2EMV9	PGA_scaffold12__71_contigs__length_50438331:23135759-23137550	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold12__71_contigs__length_50438331:3350550-3362944	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold12__71_contigs__length_50438331:36633233-36652987	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold12__71_contigs__length_50438331:48569993-48611081	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold45155__1_contigs__length_26866:3094-16529	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold46519__1_contigs__length_15170:0-11602	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold49040__1_contigs__length_26066:711-22040	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold4__129_contigs__length_65288255:4095553-4120444	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold53639__1_contigs__length_33404:3284-22263	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold68613__1_contigs__length_44262:30554-31103	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2EMV9	PGA_scaffold69437__1_contigs__length_6821:2845-4630	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6)
Q2F637	PGA_scaffold11617__1_contigs__length_4307:853-3792	14-3-3 protein zeta
Q2F637	PGA_scaffold28735__1_contigs__length_10406:6616-9555	14-3-3 protein zeta
Q2HJJ1	PGA_scaffold4__129_contigs__length_65288255:33419033-33423699	39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28)
Q2I0M4	PGA_scaffold73120__1_contigs__length_5328:2538-4023	Leucine-rich repeat-containing protein 26 (BK channel auxiliary gamma subunit LRRC26) (Cytokeratin-associated protein in cancer)
Q2KHR2	PGA_scaffold18__69_contigs__length_27737463:23284496-23301848	DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2)
Q2KIA4	PGA_scaffold155330__1_contigs__length_3956:1363-1786	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIA4	PGA_scaffold155335__1_contigs__length_3956:2170-2593	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIA4	PGA_scaffold162486__1_contigs__length_2756:66-1486	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIA4	PGA_scaffold162489__1_contigs__length_2756:1270-2690	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIA4	PGA_scaffold227061__1_contigs__length_2756:66-1486	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIA4	PGA_scaffold227063__1_contigs__length_2756:1270-2690	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)
Q2KIB0	PGA_scaffold289058__1_contigs__length_4791:961-2630	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289065__1_contigs__length_4791:2161-3830	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289091__1_contigs__length_4278:507-2150	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289093__1_contigs__length_4791:961-2630	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289094__1_contigs__length_4278:507-2150	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289131__1_contigs__length_4278:2128-3771	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289133__1_contigs__length_4791:2161-3830	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIB0	PGA_scaffold289134__1_contigs__length_4278:2128-3771	Fumarylacetoacetate hydrolase domain-containing protein 2 (EC 3.-.-.-)
Q2KIK0	PGA_scaffold4__129_contigs__length_65288255:29851563-29865065	Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog)
Q2KIM0	PGA_scaffold293464__1_contigs__length_4946:3009-3407	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)
Q2KIM0	PGA_scaffold293465__1_contigs__length_4946:1539-1937	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)
Q2KIM0	PGA_scaffold293466__1_contigs__length_4904:2978-3336	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)
Q2KIM0	PGA_scaffold293467__1_contigs__length_4904:1568-1926	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)
Q2KIR1	PGA_scaffold105832__1_contigs__length_12820:1067-12441	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold105833__1_contigs__length_10326:877-9947	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold105834__1_contigs__length_12820:379-11753	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold105835__1_contigs__length_10326:379-9449	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold110408__1_contigs__length_12820:1067-12441	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold110409__1_contigs__length_10326:877-9947	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold110410__1_contigs__length_12820:379-11753	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIR1	PGA_scaffold110411__1_contigs__length_10326:379-9449	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
Q2KIU3	PGA_scaffold20053__1_contigs__length_9767:1487-4605	Protein HP-25 homolog 2
Q2KIY1	PGA_scaffold6__104_contigs__length_61759565:31943133-31945759	Peroxisomal membrane protein 2
Q2KIY5	PGA_scaffold6__104_contigs__length_61759565:34323056-34345169	Putative phospholipase B-like 2 (EC 3.1.1.-) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2)
Q2KJC1	PGA_scaffold50318__1_contigs__length_5452:3049-4405	Cell division cycle 5-like protein (Cdc5-like protein)
Q2KJD9	PGA_scaffold19741__1_contigs__length_5952:1383-1695	Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)
Q2LD37	PGA_scaffold4__129_contigs__length_65288255:27809828-27823822	Uncharacterized protein KIAA1109 (Fragile site-associated protein)
Q2LD37	PGA_scaffold4__129_contigs__length_65288255:27874756-27930240	Uncharacterized protein KIAA1109 (Fragile site-associated protein)
Q2LE78	PGA_scaffold165221__1_contigs__length_1598:585-1554	BTB/POZ domain-containing protein 6
Q2LE78	PGA_scaffold165222__1_contigs__length_1598:44-1013	BTB/POZ domain-containing protein 6
Q2LE78	PGA_scaffold62502__1_contigs__length_2768:2259-2727	BTB/POZ domain-containing protein 6
Q2LK54	PGA_scaffold116347__1_contigs__length_7533:3286-3445	Collectin-12 (Collectin-3) (CL-3) (cCL-3)
Q2LK54	PGA_scaffold116348__1_contigs__length_7533:4088-4247	Collectin-12 (Collectin-3) (CL-3) (cCL-3)
Q2LK54	PGA_scaffold116349__1_contigs__length_7564:3317-3476	Collectin-12 (Collectin-3) (CL-3) (cCL-3)
Q2LK54	PGA_scaffold116350__1_contigs__length_7564:4088-4247	Collectin-12 (Collectin-3) (CL-3) (cCL-3)
Q2M218	PGA_scaffold1204__1_contigs__length_1255:843-1182	Zinc finger protein 630
Q2M218	PGA_scaffold48134__1_contigs__length_1523:211-1241	Zinc finger protein 630
Q2M296	PGA_scaffold4__129_contigs__length_65288255:60468074-60487446	Methenyltetrahydrofolate synthase domain-containing protein
Q2M389	PGA_scaffold267715__1_contigs__length_5321:1909-4758	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold267716__1_contigs__length_4897:2060-4583	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold267721__1_contigs__length_5321:563-3412	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold267722__1_contigs__length_4897:314-2837	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold284836__1_contigs__length_5321:1909-4758	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold284837__1_contigs__length_4897:2060-4583	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold284841__1_contigs__length_5321:563-3412	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M389	PGA_scaffold284842__1_contigs__length_4897:314-2837	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)
Q2M3M2	PGA_scaffold4__129_contigs__length_65288255:16543268-16567889	Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (hSGLT4) (Solute carrier family 5 member 9)
Q2M3M2	PGA_scaffold6__104_contigs__length_61759565:10261344-10290558	Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (hSGLT4) (Solute carrier family 5 member 9)
Q2NKQ1	PGA_scaffold6__104_contigs__length_61759565:49846135-49856541	Small G protein signaling modulator 1 (RUN and TBC1 domain-containing protein 2)
Q2NL00	PGA_scaffold67851__1_contigs__length_9399:976-3417	Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1)
Q2NL00	PGA_scaffold6__104_contigs__length_61759565:16871428-16877578	Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1)
Q2NL67	PGA_scaffold67609__1_contigs__length_9914:6510-9612	Poly [ADP-ribose] polymerase 6 (PARP-6) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 17) (ARTD17)
Q2NNR5	PGA_scaffold170381__1_contigs__length_2294:1455-2292	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold170382__1_contigs__length_2075:1236-2073	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold170383__1_contigs__length_2294:2-839	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold170384__1_contigs__length_2075:2-839	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold171887__1_contigs__length_2294:1455-2292	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold171888__1_contigs__length_2075:1236-2073	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold171889__1_contigs__length_2294:2-839	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2NNR5	PGA_scaffold171890__1_contigs__length_2075:2-839	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)
Q2PE14	PGA_scaffold6__104_contigs__length_61759565:42862985-42871966	Zinc finger CCHC domain-containing protein 8 homolog
Q2PYN8	PGA_scaffold12__71_contigs__length_50438331:45907137-45907257	Transcription factor LBX1 (Ladybird homeobox protein homolog 1)
Q2PZL6	PGA_scaffold142757__1_contigs__length_5352:2159-4623	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)
Q2PZL6	PGA_scaffold142758__1_contigs__length_4892:1847-4163	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)
Q2PZL6	PGA_scaffold142759__1_contigs__length_5352:729-3193	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)
