Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
A8T6P4	MYRIP_DANRE	reviewed	Rab effector MyRIP (Exophilin-8) (Myosin VIIa- and Rab-interacting protein) (Synaptotagmin-like protein lacking C2 domains C) (SlaC2-c) (Slp homolog lacking C2 domains c)	myrip akap2 si:dkey-12l12.1 si:dkey-189e1.3	Danio rerio (Zebrafish) (Brachydanio rerio)	838	intracellular protein transport [GO:0006886]	cortical actin cytoskeleton [GO:0030864]; perinuclear region of cytoplasm [GO:0048471]; transport vesicle [GO:0030133]	cortical actin cytoskeleton [GO:0030864]; perinuclear region of cytoplasm [GO:0048471]; transport vesicle [GO:0030133]; actin binding [GO:0003779]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]; Rab GTPase binding [GO:0017137]; intracellular protein transport [GO:0006886]	Rab GTPase binding [GO:0017137]; actin binding [GO:0003779]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]	GO:0003779; GO:0006886; GO:0017022; GO:0017137; GO:0030133; GO:0030864; GO:0046872; GO:0048471
O77245	E75_METEN	reviewed	Nuclear hormone receptor E75 (Nuclear receptor subfamily 1 group D member 3)	E75 NR1D3	Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis)	606		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565
Q6RVG2	S4A8_RAT	reviewed	Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na+-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3)	Slc4a8 Ndcbe1	Rattus norvegicus (Rat)	1067	bicarbonate transport [GO:0015701]; regulation of intracellular pH [GO:0051453]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; anion:anion antiporter activity [GO:0015301]; inorganic anion exchanger activity [GO:0005452]; sodium:bicarbonate symporter activity [GO:0008510]; bicarbonate transport [GO:0015701]; regulation of intracellular pH [GO:0051453]	anion:anion antiporter activity [GO:0015301]; inorganic anion exchanger activity [GO:0005452]; sodium:bicarbonate symporter activity [GO:0008510]	GO:0005452; GO:0005887; GO:0008510; GO:0015301; GO:0015701; GO:0051453
O02769	MTR1A_BOVIN	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor) (Fragment)	MTNR1A	Bos taurus (Bovine)	257	circadian rhythm [GO:0007623]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]; circadian rhythm [GO:0007623]	G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]	GO:0004930; GO:0005886; GO:0007623; GO:0008502; GO:0016021
Q8MR37	KLFL_DROME	reviewed	Krueppel-like factor luna	luna CG33473	Drosophila melanogaster (Fruit fly)	570	cell division [GO:0051301]; mitotic sister chromatid segregation [GO:0000070]; preblastoderm mitotic cell cycle [GO:0035185]; regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell division [GO:0051301]; mitotic sister chromatid segregation [GO:0000070]; preblastoderm mitotic cell cycle [GO:0035185]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	GO:0000070; GO:0000981; GO:0005634; GO:0006357; GO:0035185; GO:0043565; GO:0046872; GO:0051301
Q6R7D0	IAP3_OSHVF	reviewed	Putative apoptosis inhibitor ORF99	ORF99	Ostreid herpesvirus 1 (isolate France) (OsHV-1) (Pacific oyster herpesvirus)	250					
Q7ZU42	OLA1_DANRE	reviewed	Obg-like ATPase 1	ola1 zgc:55768	Danio rerio (Zebrafish) (Brachydanio rerio)	396		cytoplasm [GO:0005737]; nucleolus [GO:0005730]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]	GO:0005524; GO:0005525; GO:0005730; GO:0005737; GO:0016887; GO:0043022; GO:0043023; GO:0046872
G5E8K5	ANK3_MOUSE	reviewed	Ankyrin-3 (ANK-3) (Ankyrin-G)	Ank3	Mus musculus (Mouse)	1961	Golgi to plasma membrane protein transport [GO:0043001]; axon guidance [GO:0007411]; axonogenesis [GO:0007409]; cellular response to magnesium ion [GO:0071286]; clustering of voltage-gated sodium channels [GO:0045162]; establishment of protein localization [GO:0045184]; magnesium ion homeostasis [GO:0010960]; maintenance of protein location in plasma membrane [GO:0072660]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; neuronal action potential [GO:0019228]; plasma membrane organization [GO:0007009]; positive regulation of action potential [GO:0045760]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to axon [GO:0099612]; protein localization to plasma membrane [GO:0072659]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165]; synapse organization [GO:0050808]	T-tubule [GO:0030315]; Z disc [GO:0030018]; axon [GO:0030424]; axon initial segment [GO:0043194]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; dendrite [GO:0030425]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; lysosome [GO:0005764]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; node of Ranvier [GO:0033268]; paranode region of axon [GO:0033270]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; synapse [GO:0045202]	axon [GO:0030424]; axon initial segment [GO:0043194]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; dendrite [GO:0030425]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; lysosome [GO:0005764]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; node of Ranvier [GO:0033268]; paranode region of axon [GO:0033270]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; synapse [GO:0045202]; T-tubule [GO:0030315]; Z disc [GO:0030018]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; ion channel binding [GO:0044325]; phosphorylation-dependent protein binding [GO:0140031]; protein binding, bridging [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; axon guidance [GO:0007411]; axonogenesis [GO:0007409]; cellular response to magnesium ion [GO:0071286]; clustering of voltage-gated sodium channels [GO:0045162]; establishment of protein localization [GO:0045184]; Golgi to plasma membrane protein transport [GO:0043001]; magnesium ion homeostasis [GO:0010960]; maintenance of protein location in plasma membrane [GO:0072660]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; neuronal action potential [GO:0019228]; plasma membrane organization [GO:0007009]; positive regulation of action potential [GO:0045760]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to axon [GO:0099612]; protein localization to plasma membrane [GO:0072659]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165]; synapse organization [GO:0050808]	cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; ion channel binding [GO:0044325]; phosphorylation-dependent protein binding [GO:0140031]; protein binding, bridging [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]	GO:0000281; GO:0005200; GO:0005764; GO:0005886; GO:0007009; GO:0007165; GO:0007409; GO:0007411; GO:0007528; GO:0008092; GO:0009925; GO:0009986; GO:0010628; GO:0010650; GO:0010765; GO:0010960; GO:0014704; GO:0014731; GO:0016020; GO:0016323; GO:0016328; GO:0016529; GO:0019228; GO:0030018; GO:0030315; GO:0030424; GO:0030425; GO:0030507; GO:0030674; GO:0031594; GO:0033268; GO:0033270; GO:0034112; GO:0042383; GO:0043001; GO:0043005; GO:0043194; GO:0043266; GO:0044325; GO:0045162; GO:0045184; GO:0045202; GO:0045211; GO:0045296; GO:0045760; GO:0045838; GO:0050808; GO:0071286; GO:0071709; GO:0072659; GO:0072660; GO:0090314; GO:0099612; GO:0140031; GO:1900827; GO:1902260; GO:2000651; GO:2001259
Q5ZJH7	CNPD1_CHICK	reviewed	Protein CNPPD1	CNPPD1 RCJMB04_3a20	Gallus gallus (Chicken)	439	regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	protein kinase binding [GO:0019901]	GO:0000079; GO:0016021; GO:0019901
Q7SXP8	GMPAB_DANRE	reviewed	Mannose-1-phosphate guanyltransferase alpha-B (EC 2.7.7.13) (GDP-mannose pyrophosphorylase A-B) (GTP-mannose-1-phosphate guanylyltransferase alpha-b)	gmppab zgc:66135	Danio rerio (Zebrafish) (Brachydanio rerio)	422	GDP-mannose biosynthetic process [GO:0009298]		GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase activity [GO:0004475]; GDP-mannose biosynthetic process [GO:0009298]	GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase activity [GO:0004475]	GO:0004475; GO:0005525; GO:0009298
Q9Y2E4	DIP2C_HUMAN	reviewed	Disco-interacting protein 2 homolog C (DIP2 homolog C)	DIP2C KIAA0934	Homo sapiens (Human)	1556			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824
D3KCC4	CRNS1_CHICK	reviewed	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1	Gallus gallus (Chicken)	930	carnosine biosynthetic process [GO:0035499]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; carnosine synthase activity [GO:0047730]; FMN binding [GO:0010181]; homocarnosine synthase activity [GO:0102102]; metal ion binding [GO:0046872]; carnosine biosynthetic process [GO:0035499]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; FMN binding [GO:0010181]; carnosine synthase activity [GO:0047730]; homocarnosine synthase activity [GO:0102102]; metal ion binding [GO:0046872]	GO:0005524; GO:0010181; GO:0016887; GO:0035499; GO:0046872; GO:0047730; GO:0102102
Q6ZPS2	CRNS1_MOUSE	reviewed	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	Carns1 Atpgd1 Kiaa1394	Mus musculus (Mouse)	827	carnosine biosynthetic process [GO:0035499]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; carnosine synthase activity [GO:0047730]; FMN binding [GO:0010181]; homocarnosine synthase activity [GO:0102102]; metal ion binding [GO:0046872]; carnosine biosynthetic process [GO:0035499]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; FMN binding [GO:0010181]; carnosine synthase activity [GO:0047730]; homocarnosine synthase activity [GO:0102102]; metal ion binding [GO:0046872]	GO:0005524; GO:0010181; GO:0016887; GO:0035499; GO:0046872; GO:0047730; GO:0102102
A6QLU1	GPDM_BOVIN	reviewed	Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3)	GPD2	Bos taurus (Bovine)	727	glycerol catabolic process [GO:0019563]; glycerol-3-phosphate catabolic process [GO:0046168]	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; mitochondrion [GO:0005739]	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; mitochondrion [GO:0005739]; calcium ion binding [GO:0005509]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate catabolic process [GO:0046168]	calcium ion binding [GO:0005509]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]	GO:0004367; GO:0004368; GO:0005509; GO:0005739; GO:0009331; GO:0019563; GO:0046168; GO:0052591
Q5RBR6	SPRY3_PONAB	reviewed	SPRY domain-containing protein 3	SPRYD3	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	442					
Q2HJ61	PLPP2_BOVIN	reviewed	Phospholipid phosphatase 2 (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 2) (PAP2-gamma) (PAP2-G) (Phosphatidate phosphohydrolase type 2c) (Phosphatidic acid phosphatase 2c) (PAP-2c) (PAP2c)	PLPP2 PPAP2C	Bos taurus (Bovine)	287	phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; lipid phosphatase activity [GO:0042577]; phosphatase activity [GO:0016791]; phosphatidate phosphatase activity [GO:0008195]; phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]	lipid phosphatase activity [GO:0042577]; phosphatase activity [GO:0016791]; phosphatidate phosphatase activity [GO:0008195]	GO:0005887; GO:0006644; GO:0008195; GO:0016791; GO:0042577; GO:0046839
P02707	LECH_CHICK	reviewed	Hepatic lectin		Gallus gallus (Chicken)	207	endocytosis [GO:0006897]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; endocytosis [GO:0006897]	carbohydrate binding [GO:0030246]	GO:0006897; GO:0016021; GO:0030246
B2RX12	MRP3_MOUSE	reviewed	Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multidrug resistance-associated protein 3)	Abcc3 Cmoat2 Mrp3	Mus musculus (Mouse)	1523	canalicular bile acid transport [GO:0015722]; drug transmembrane transport [GO:0006855]; drug transport [GO:0015893]; transmembrane transport [GO:0055085]	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; canalicular bile acid transport [GO:0015722]; drug transmembrane transport [GO:0006855]; drug transport [GO:0015893]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0005774; GO:0005887; GO:0006855; GO:0015722; GO:0015893; GO:0016020; GO:0016323; GO:0016887; GO:0042626; GO:0055085
Q5UPE2	YL063_MIMIV	reviewed	Putative ankyrin repeat protein L63	MIMI_L63	Acanthamoeba polyphaga mimivirus (APMV)	580					
Q9BS26	ERP44_HUMAN	reviewed	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075	Homo sapiens (Human)	406	cell redox homeostasis [GO:0045454]; glycoprotein metabolic process [GO:0009100]; neutrophil degranulation [GO:0043312]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; specific granule lumen [GO:0035580]	cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; specific granule lumen [GO:0035580]; protein disulfide isomerase activity [GO:0003756]; cell redox homeostasis [GO:0045454]; glycoprotein metabolic process [GO:0009100]; neutrophil degranulation [GO:0043312]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	protein disulfide isomerase activity [GO:0003756]	GO:0003756; GO:0005576; GO:0005788; GO:0005789; GO:0005793; GO:0006457; GO:0006986; GO:0009100; GO:0009986; GO:0034976; GO:0035580; GO:0043312; GO:0045454; GO:0070062
Q9HGN1	GCN2_SCHPO	reviewed	eIF-2-alpha kinase GCN2 (Serine/threonine-protein kinase gcn2) (EC 2.7.11.1) (Serine/threonine-protein kinase ppk28)	gcn2 ppk28 SPBC36B7.09 SPBP18G5.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1576	G1 cell cycle arrest in response to nitrogen starvation [GO:0071849]; cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to hydrogen peroxide [GO:0070301]; cellular stress response to acidic pH [GO:1990451]; mitotic G1 DNA damage checkpoint [GO:0031571]; negative regulation of cytoplasmic translational initiation in response to stress [GO:1990625]; regulation of translation involved in cellular response to UV [GO:1904803]; signal transduction involved in mitotic G1 DNA damage checkpoint [GO:0072431]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein kinase activity [GO:0004672]; tRNA binding [GO:0000049]; cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to hydrogen peroxide [GO:0070301]; cellular stress response to acidic pH [GO:1990451]; G1 cell cycle arrest in response to nitrogen starvation [GO:0071849]; mitotic G1 DNA damage checkpoint [GO:0031571]; negative regulation of cytoplasmic translational initiation in response to stress [GO:1990625]; regulation of translation involved in cellular response to UV [GO:1904803]; signal transduction involved in mitotic G1 DNA damage checkpoint [GO:0072431]	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein kinase activity [GO:0004672]; tRNA binding [GO:0000049]	GO:0000049; GO:0004672; GO:0004694; GO:0005524; GO:0005829; GO:0022626; GO:0031571; GO:0034198; GO:0070301; GO:0071849; GO:0072431; GO:0072755; GO:1904803; GO:1990451; GO:1990625
Q04310	Y4629_STRCO	reviewed	Uncharacterized protein SCO4629	SCO4629 SCD39.29	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	221		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677; GO:0005886
A4IF63	TRIM2_BOVIN	reviewed	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2	Bos taurus (Bovine)	744	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523]	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0043161; GO:0043523; GO:0061630
O50655	XERD_SELRU	reviewed	Integrase/recombinase xerD homolog	xerD	Selenomonas ruminantium	341	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	DNA binding [GO:0003677]	GO:0003677; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713
Q9D9R9	F186A_MOUSE	reviewed	Protein FAM186A	FAM186A Gm920	Mus musculus (Mouse)	1790					
Q9H0J4	QRIC2_HUMAN	reviewed	Glutamine-rich protein 2	QRICH2	Homo sapiens (Human)	1663					
P33300	SUR1_YEAST	reviewed	Mannosyl phosphorylinositol ceramide synthase SUR1 (EC 2.4.-.-)	SUR1 BCL21 CSG1 LPE15 YPL057C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382	glycosphingolipid biosynthetic process [GO:0006688]; mannosyl-inositol phosphorylceramide biosynthetic process [GO:0051999]; mannosyl-inositol phosphorylceramide metabolic process [GO:0006675]; sphingolipid biosynthetic process [GO:0030148]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; mannosyltransferase activity [GO:0000030]; glycosphingolipid biosynthetic process [GO:0006688]; mannosyl-inositol phosphorylceramide biosynthetic process [GO:0051999]; mannosyl-inositol phosphorylceramide metabolic process [GO:0006675]; sphingolipid biosynthetic process [GO:0030148]	mannosyltransferase activity [GO:0000030]	GO:0000030; GO:0000324; GO:0000329; GO:0006675; GO:0006688; GO:0016021; GO:0030148; GO:0051999
Q6W5P4	NPSR1_HUMAN	reviewed	Neuropeptide S receptor (G-protein coupled receptor 154) (G-protein coupled receptor PGR14) (G-protein coupled receptor for asthma susceptibility)	NPSR1 GPR154 GPRA PGR14	Homo sapiens (Human)	371	G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; neuropeptide receptor activity [GO:0008188]; vasopressin receptor activity [GO:0005000]; G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]	neuropeptide receptor activity [GO:0008188]; vasopressin receptor activity [GO:0005000]	GO:0005000; GO:0005737; GO:0005886; GO:0005887; GO:0007186; GO:0007218; GO:0008188; GO:0051281
Q9EP71	RAI14_MOUSE	reviewed	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14) (p125)	Rai14 Kiaa1334 Norpeg	Mus musculus (Mouse)	979	cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]	cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]		GO:0001650; GO:0005634; GO:0005739; GO:0005829; GO:0005856; GO:0005938; GO:0007283; GO:0030054; GO:0030154
