#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
mame	start	end	score	Accession	match_desc	m_start	m_end	E-value	identity	al
19763-Caligus.00g091760.m01	22	354	762	XP_014480046.1	PREDICTED: uncharacterized protein LOC106747214 [Dinoponera quadriceps]	1	337	1.75418e-97	47.04	338
19763-Caligus.00g091770.m01	830	939	250	XP_001635976.1	predicted protein [Nematostella vectensis]	2	110	1.37604e-23	50.91	110
19763-Caligus.00g091800.m01	249	379	128	XP_013781909.1	uncharacterized protein LOC106466207 [Limulus polyphemus]	3	118	2.29981e-07	28.03	132
19763-Caligus.00g091810.m01	84	180	170	XP_003088067.1	hypothetical protein CRE_02778 [Caenorhabditis remanei]	1	97	5.14044e-14	37.11	97
19763-Caligus.00g091820.m01	138	219	228	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	82	1.05409e-22	47.56	82
19763-Caligus.00g091830.m01	96	185	261	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	1	89	6.26261e-27	54.44	90
19763-Caligus.00g091850.m01	169	213	144	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	1	45	8.91397e-11	60.00	45
19763-Caligus.00g091870.m01	243	291	150	XP_019761125.1	PREDICTED: monocarboxylate transporter 2-like [Dendroctonus ponderosae]	3	51	2.12907e-11	55.10	49
19763-Caligus.00g091890.m01	65	164	154	XP_025153568.1	uncharacterized protein LOC109503697 [Harpegnathos saltator]	12	108	2.15615e-11	41.58	101
19763-Caligus.00g091900.m01	133	294	293	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	3	200	1.33595e-29	39.90	198
19763-Caligus.00g091910.m01	22	116	180	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	148	246	8.2758e-13	34.34	99
19763-Caligus.00g091920.m01	35	351	597	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	3	312	7.5498e-71	36.91	317
19763-Caligus.00g091930.m01	66	130	237	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	65	1.88493e-24	61.54	65
19763-Caligus.00g091940.m01	234	276	146	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	117	159	2.8229e-09	51.16	43
19763-Caligus.00g091950.m01	219	278	135	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	80	140	1.00855e-07	45.90	61
19763-Caligus.00g091960.m01	147	213	221	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	9	75	1.0666e-21	56.72	67
19763-Caligus.00g091970.m01	148	294	215	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	13	141	3.74848e-19	37.58	149
19763-Caligus.00g092030.m01	117	192	155	XP_026746120.1	uncharacterized protein LOC113507469 [Trichoplusia ni]	1	76	6.3107e-12	36.84	76
19763-Caligus.00g092040.m01	72	269	339	XP_018897573.1	PREDICTED: uncharacterized protein LOC109030848 [Bemisia tabaci]	5	200	1.36973e-34	36.36	198
19763-Caligus.00g092070.m01	169	231	138	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	1	63	8.34801e-10	44.44	63
19763-Caligus.00g092090.m01	493	612	173	XP_020293917.1	uncharacterized protein LOC109859777, partial [Pseudomyrmex gracilis]	11	138	4.54383e-13	32.81	128
19763-Caligus.00g092100.m01	124	211	166	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	52	133	1.47661e-12	39.77	88
19763-Caligus.00g092120.m01	42	309	347	XP_026320665.1	histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa]	65	305	2.33324e-36	34.94	269
19763-Caligus.00g092140.m01	189	341	345	XP_003097774.1	hypothetical protein CRE_13649 [Caenorhabditis remanei]	1	153	8.17895e-38	42.21	154
19763-Caligus.00g092150.m01	227	351	244	XP_017793474.1	PREDICTED: uncharacterized protein LOC108575239 [Habropoda laboriosa]	1	124	1.85987e-23	39.20	125
19763-Caligus.00g092210.m01	723	811	145	XP_013187802.1	PREDICTED: uncharacterized protein LOC106132814 [Amyelois transitella]	17	104	9.58472e-10	35.96	89
19763-Caligus.00g092230.m01	40	237	322	XP_023327188.1	uncharacterized protein LOC111700489 [Eurytemora affinis]	26	221	3.30247e-34	36.87	198
19763-Caligus.00g092240.m01	90	303	411	XP_003744201.1	PREDICTED: uncharacterized protein LOC100902024 [Galendromus occidentalis]	2	213	1.25531e-46	37.85	214
19763-Caligus.00g092250.m01	18	526	1012	XP_009015380.1	hypothetical protein HELRODRAFT_160122 [Helobdella robusta]	94	566	5.82563e-129	42.08	518
19763-Caligus.00g092260.m01	158	257	445	XP_022224920.1	alpha-2Db adrenergic receptor isoform X2 [Drosophila obscura]	15	114	1.36794e-50	76.00	100
19763-Caligus.00g092300.m01	186	269	205	XP_014780575.1	PREDICTED: uncharacterized protein LOC106876512 [Octopus bimaculoides]	2	85	7.38196e-19	48.81	84
19763-Caligus.00g092310.m01	169	224	177	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	1	56	1.45697e-15	57.14	56
19763-Caligus.00g092360.m01	324	577	285	XP_025985764.1	uncharacterized protein LOC113002845 isoform X1 [Solenopsis invicta]	14	254	2.24756e-26	32.95	258
19763-Caligus.00g092390.m01	9	210	259	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	1	193	1.35008e-24	36.27	204
19763-Caligus.00g092410.m01	15	134	316	XP_012555128.1	PREDICTED: uncharacterized protein LOC105843830 [Hydra vulgaris]	1	120	7.53204e-35	47.50	120
19763-Caligus.00g092430.m01	1	103	138	XP_004211351.2	PREDICTED: putative uncharacterized protein FLJ37770, partial [Hydra vulgaris]	1	107	4.5901e-09	31.78	107
19763-Caligus.00g092450.m01	214	370	312	XP_023343948.1	protein tincar-like, partial [Eurytemora affinis]	2	154	2.13467e-31	53.50	157
19763-Caligus.00g092460.m01	49	93	182	XP_018911939.1	PREDICTED: E3 ubiquitin-protein ligase CBL [Bemisia tabaci]	1	45	7.12704e-16	75.56	45
19763-Caligus.00g092510.m01	37	112	271	XP_014670443.1	PREDICTED: uncharacterized protein LOC106811370 [Priapulus caudatus]	1	76	2.35189e-27	61.84	76
19763-Caligus.00g092520.m01	262	324	300	XP_019872214.1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC109600466 [Aethina tumida]	3	65	1.73436e-31	84.13	63
19763-Caligus.00g092530.m01	323	539	614	XP_023338853.1	uncharacterized protein LOC111709423 [Eurytemora affinis]	3	185	6.80104e-74	57.34	218
19763-Caligus.00g092550.m01	272	397	166	XP_015753290.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	32	162	1.04472e-11	36.84	133
19763-Caligus.00g092570.m01	1	59	134	XP_015925323.1	uncharacterized protein LOC107453141 [Parasteatoda tepidariorum]	1	59	5.69985e-09	40.68	59
19763-Caligus.00g092580.m01	140	426	649	XP_025414674.1	protein ZBED8-like [Sipha flava]	8	270	3.24099e-80	44.29	289
19763-Caligus.00g092590.m01	210	316	423	XP_017793474.1	PREDICTED: uncharacterized protein LOC108575239 [Habropoda laboriosa]	1	107	5.8528e-50	67.29	107
19763-Caligus.00g092600.m01	1	259	1072	XP_023347951.1	40S ribosomal protein S4-like [Eurytemora affinis]	1	259	3.21163e-147	78.76	259
19763-Caligus.00g092610.m01	547	808	230	XP_026466139.1	extended synaptotagmin-2 isoform X2 [Ctenocephalides felis]	2	286	7.64046e-19	32.19	292
19763-Caligus.00g092620.m01	334	463	229	XP_018325864.1	extended synaptotagmin-2 isoform X2 [Agrilus planipennis]	2	123	3.51728e-20	39.69	131
19763-Caligus.00g092630.m01	123	303	592	XP_023340813.1	extended synaptotagmin-2-like isoform X2 [Eurytemora affinis]	5	182	7.20273e-69	61.33	181
19763-Caligus.00g092660.m01	244	299	133	XP_023320966.1	uncharacterized protein LOC111695763 isoform X2 [Eurytemora affinis]	134	189	4.91218e-07	55.36	56
19763-Caligus.00g092670.m01	240	497	705	XP_023239492.1	anaphase-promoting complex subunit 7-like isoform X2 [Centruroides sculpturatus]	1	260	4.09453e-87	55.00	260
19763-Caligus.00g092680.m01	693	1054	1085	XP_017470385.1	PREDICTED: uncharacterized protein LOC108362062 [Rhagoletis zephyria]	2	365	8.58425e-135	54.37	366
19763-Caligus.00g092690.m01	1	175	566	XP_017466677.1	PREDICTED: uncharacterized protein LOC108359355 [Rhagoletis zephyria]	1	176	2.73671e-65	59.09	176
19763-Caligus.00g092720.m01	1	121	179	XP_015373749.1	PREDICTED: uncharacterized protein LOC107168750 [Diuraphis noxia]	1	128	1.26564e-15	29.69	128
19763-Caligus.00g092730.m01	38	125	148	XP_014357665.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Papilio machaon]	13	99	1.82579e-10	36.36	88
19763-Caligus.00g092780.m01	35	166	136	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	17	130	1.42569e-08	31.62	136
19763-Caligus.00g092790.m01	129	645	1190	XP_015188889.1	PREDICTED: general transcription factor II-I repeat domain-containing protein 2A-like isoform X2 [Polistes dominula]	1	523	3.82766e-155	42.75	524
19763-Caligus.00g092810.m01	1	113	466	XP_023327768.1	polycomb group RING finger protein 3-like [Eurytemora affinis]	1	109	4.4753e-56	75.22	113
19763-Caligus.00g092830.m01	306	360	217	XP_013071838.1	PREDICTED: ATP-dependent RNA helicase dbp2-like [Biomphalaria glabrata]	1	55	1.96485e-20	70.91	55
19763-Caligus.00g092880.m01	1273	1352	128	XP_026274625.1	ribosome biogenesis protein BMS1 homolog isoform X1 [Frankliniella occidentalis]	3	82	1.67812e-07	41.25	80
19763-Caligus.00g092900.m01	640	745	207	XP_023348455.1	ribosome biogenesis protein BMS1 homolog [Eurytemora affinis]	4	109	2.26035e-17	48.60	107
19763-Caligus.00g092910.m01	160	266	446	XP_013774338.1	LOW QUALITY PROTEIN: ribosome biogenesis protein BMS1 homolog [Limulus polyphemus]	1	107	2.18543e-50	77.57	107
19763-Caligus.00g092920.m01	37	136	320	XP_023348455.1	ribosome biogenesis protein BMS1 homolog [Eurytemora affinis]	36	113	2.68731e-33	62.00	100
19763-Caligus.00g092930.m01	288	456	302	XP_023326328.1	protein phosphatase 1H-like [Eurytemora affinis]	1	154	3.44955e-30	43.93	173
19763-Caligus.00g092940.m01	650	759	193	XP_023345989.1	uncharacterized protein LOC111714992 [Eurytemora affinis]	178	288	6.25698e-14	36.94	111
19763-Caligus.00g092950.m01	107	283	152	XP_023323903.1	snRNA-activating protein complex subunit 1-like [Eurytemora affinis]	1	157	6.01993e-10	22.51	191
19763-Caligus.00g092960.m01	33	126	331	XP_011336538.1	PREDICTED: peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [Ooceraea biroi]	29	100	5.07947e-39	69.15	94
19763-Caligus.00g092980.m01	12	108	426	XP_018328981.1	U6 snRNA-associated Sm-like protein LSm7 [Agrilus planipennis]	16	112	1.32652e-53	82.47	97
19763-Caligus.00g092990.m01	19	102	151	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	19	101	1.00859e-10	36.90	84
19763-Caligus.00g093000.m01	82	267	252	XP_022168034.1	uncharacterized protein LOC111032119 [Myzus persicae]	1	133	8.19725e-25	30.11	186
19763-Caligus.00g093030.m01	176	266	218	XP_003096058.1	hypothetical protein CRE_05169 [Caenorhabditis remanei]	22	111	3.01775e-20	43.96	91
19763-Caligus.00g093040.m01	8	83	195	XP_014782038.1	PREDICTED: uncharacterized protein LOC106877607 [Octopus bimaculoides]	8	83	9.39003e-19	55.26	76
19763-Caligus.00g093050.m01	84	451	809	XP_014093766.1	PREDICTED: uncharacterized protein LOC106619946 [Bactrocera oleae]	1	350	1.46578e-101	45.21	376
19763-Caligus.00g093090.m01	114	184	240	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	3	73	2.31803e-24	57.75	71
19763-Caligus.00g093100.m01	32	351	915	XP_025405845.1	zinc finger BED domain-containing protein 5-like [Sipha flava]	65	385	3.34582e-119	50.78	321
19763-Caligus.00g093130.m01	160	224	218	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	58	122	2.78245e-20	55.38	65
19763-Caligus.00g093140.m01	147	362	133	XP_023307913.1	uncharacterized protein LOC111689674 [Lucilia cuprina]	3	202	7.49802e-07	23.39	218
19763-Caligus.00g093180.m01	24	205	292	XP_025261899.1	general transcription factor II-I repeat domain-containing protein 2A-like [Camponotus floridanus]	1	178	8.99146e-31	31.87	182
19763-Caligus.00g093190.m01	89	308	488	XP_012521837.1	PREDICTED: protein ZBED8-like [Monomorium pharaonis]	2	221	6.48642e-57	46.82	220
19763-Caligus.00g093220.m01	13	120	168	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	5	108	1.98262e-12	32.41	108
19763-Caligus.00g093230.m01	199	276	209	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	2	79	6.55187e-19	47.44	78
19763-Caligus.00g093240.m01	106	219	336	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	2	115	1.99464e-38	52.63	114
19763-Caligus.00g093250.m01	153	272	222	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	1	120	2.7793e-20	49.17	120
19763-Caligus.00g093260.m01	210	299	136	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	51	141	6.35874e-08	35.16	91
19763-Caligus.00g093270.m01	199	293	300	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	96	2.79043e-32	55.79	95
19763-Caligus.00g093280.m01	293	961	442	XP_792312.2	PREDICTED: uncharacterized protein LOC587493 [Strongylocentrotus purpuratus]	282	989	3.15814e-42	25.72	727
19763-Caligus.00g093290.m01	321	419	165	XP_015379872.1	PREDICTED: phosphatidylcholine:ceramide cholinephosphotransferase 2-like isoform X1 [Diuraphis noxia]	2	94	1.3345e-12	47.06	102
19763-Caligus.00g093300.m01	214	313	359	XP_020285562.1	protein lin-9 homolog isoform X2 [Pseudomyrmex gracilis]	193	292	2.87023e-36	73.00	100
19763-Caligus.00g093330.m01	47	145	302	XP_023323456.1	glutamate-gated chloride channel subunit beta-like [Eurytemora affinis]	23	124	1.95701e-31	53.92	102
19763-Caligus.00g093350.m01	509	639	171	XP_015927061.1	zinc finger MYM-type protein 1-like [Parasteatoda tepidariorum]	2	101	2.40463e-13	34.35	131
19763-Caligus.00g093460.m01	25	187	241	XP_021378599.1	uncharacterized protein K02A2.6-like [Mizuhopecten yessoensis]	93	260	3.14163e-20	34.71	170
19763-Caligus.00g093480.m01	474	709	248	XP_025268586.1	uncharacterized protein LOC112639318 [Camponotus floridanus]	4	226	1.57404e-20	28.28	244
19763-Caligus.00g093490.m01	41	782	850	XP_004923891.2	uncharacterized protein K02A2.6 [Bombyx mori]	84	798	1.48089e-95	29.87	760
19763-Caligus.00g093550.m01	144	492	570	XP_013776389.2	anaphase-promoting complex subunit 5-like isoform X2 [Limulus polyphemus]	139	455	3.044e-63	39.55	354
19763-Caligus.00g093560.m01	206	350	441	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	129	273	1.52145e-48	51.03	145
19763-Caligus.00g093570.m01	127	311	404	XP_023340458.1	uncharacterized protein LOC111710581 [Eurytemora affinis]	149	335	6.86981e-41	58.51	188
19763-Caligus.00g093590.m01	110	354	768	XP_025405845.1	zinc finger BED domain-containing protein 5-like [Sipha flava]	1	246	3.32168e-99	55.28	246
19763-Caligus.00g093600.m01	24	82	136	XP_026819108.1	zinc finger BED domain-containing protein 5-like [Rhopalosiphum maidis]	1	60	8.88646e-10	40.00	60
19763-Caligus.00g093630.m01	9	126	153	XP_025420792.1	protein GVQW3-like [Sipha flava]	7	124	1.63368e-11	27.97	118
19763-Caligus.00g093690.m01	8	73	142	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	2	71	9.97657e-10	47.14	70
19763-Caligus.00g093720.m01	93	204	238	XP_023334173.1	RWD domain-containing protein 1-like [Eurytemora affinis]	1	112	4.34305e-23	63.39	112
19763-Caligus.00g093780.m01	9	100	188	XP_014782038.1	PREDICTED: uncharacterized protein LOC106877607 [Octopus bimaculoides]	47	137	8.41405e-17	51.09	92
19763-Caligus.00g093790.m01	356	523	241	XP_002001471.1	uncharacterized protein Dmoj_GI21956, isoform A [Drosophila mojavensis]	1	183	2.50594e-21	31.15	183
19763-Caligus.00g093870.m01	8	71	131	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	2	65	8.18598e-08	45.31	64
19763-Caligus.00g093920.m01	242	355	248	XP_011136309.1	lachesin isoform X1 [Harpegnathos saltator]	1	114	5.01338e-24	39.13	115
19763-Caligus.00g093960.m01	20	142	138	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	123	1.21894e-08	35.71	126
19763-Caligus.00g093970.m01	1113	1471	765	XP_015766805.1	PREDICTED: uncharacterized protein LOC107345587 [Acropora digitifera]	1	356	7.16719e-89	49.44	360
19763-Caligus.00g093990.m01	3	56	210	XP_015904455.1	nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1-like isoform X2 [Parasteatoda tepidariorum]	2	55	2.72095e-20	64.81	54
19763-Caligus.00g094030.m01	12	64	134	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	6	58	6.60595e-09	50.94	53
19763-Caligus.00g094100.m01	141	272	230	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	4	135	3.41293e-21	42.42	132
19763-Caligus.00g094120.m01	251	343	144	XP_025206449.1	protein GVQW3-like [Melanaphis sacchari]	3	95	7.65163e-10	34.41	93
19763-Caligus.00g094140.m01	77	160	137	XP_025195700.1	piggyBac transposable element-derived protein 3-like [Melanaphis sacchari]	103	190	1.26672e-07	39.13	92
19763-Caligus.00g094150.m01	416	495	164	XP_015598956.1	uncharacterized protein LOC107269530 [Cephus cinctus]	100	186	1.98758e-10	40.23	87
19763-Caligus.00g094160.m01	412	620	350	XP_025268586.1	uncharacterized protein LOC112639318 [Camponotus floridanus]	19	228	2.85632e-35	36.19	210
19763-Caligus.00g094170.m01	9	112	160	XP_026816488.1	protein GVQW3-like [Rhopalosiphum maidis]	5	108	2.0172e-12	34.62	104
19763-Caligus.00g094180.m01	223	337	235	XP_011349879.2	PREDICTED: uncharacterized protein LOC105286551 [Ooceraea biroi]	1	117	2.69111e-22	44.92	118
19763-Caligus.00g094190.m01	78	184	343	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	106	1.32964e-39	59.81	107
19763-Caligus.00g094230.m01	161	405	558	XP_023323711.1	uncharacterized protein LOC111697812 [Eurytemora affinis]	1	263	3.89272e-67	44.57	267
19763-Caligus.00g094310.m01	366	428	121	XP_012235887.1	PREDICTED: uncharacterized protein LOC105680043 [Linepithema humile]	3	68	4.29367e-07	37.88	66
19763-Caligus.00g094320.m01	237	349	135	XP_026749138.1	histone-lysine N-methyltransferase SETMAR-like [Galleria mellonella]	46	151	6.57155e-08	39.82	113
19763-Caligus.00g094350.m01	11	144	215	XP_014097288.1	PREDICTED: uncharacterized protein LOC106622593 [Bactrocera oleae]	2	136	1.247e-18	34.04	141
19763-Caligus.00g094370.m01	440	552	235	XP_023329474.1	transcription factor SPT20 homolog [Eurytemora affinis]	94	201	2.32272e-20	48.67	113
19763-Caligus.00g094380.m01	71	256	438	XP_025834123.1	nucleolar transcription factor 1 [Agrilus planipennis]	124	313	8.93708e-44	43.16	190
19763-Caligus.00g094390.m01	1	302	254	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	1	277	9.6277e-23	29.04	303
19763-Caligus.00g094410.m01	83	179	144	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	6	99	1.94746e-09	29.90	97
19763-Caligus.00g094420.m01	169	224	165	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	1	56	7.67653e-14	53.57	56
19763-Caligus.00g094450.m01	86	150	125	XP_015792251.1	uncharacterized protein LOC107368876 [Tetranychus urticae]	1	65	5.22654e-08	35.38	65
19763-Caligus.00g094460.m01	426	752	335	XP_025197463.1	zinc finger MYM-type protein 1-like [Melanaphis sacchari]	4	340	3.48495e-32	31.52	349
19763-Caligus.00g094470.m01	15	351	531	XP_014480046.1	PREDICTED: uncharacterized protein LOC106747214 [Dinoponera quadriceps]	2	313	4.80816e-63	35.91	337
19763-Caligus.00g094500.m01	152	231	208	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	17	92	1.76235e-19	50.00	80
19763-Caligus.00g094520.m01	306	346	144	XP_014231962.1	uncharacterized protein LOC106655883 isoform X1 [Trichogramma pretiosum]	1	40	1.10913e-10	63.41	41
19763-Caligus.00g094530.m01	10	351	461	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	2	319	7.95199e-51	33.43	347
19763-Caligus.00g094580.m01	32	1236	1768	XP_013411023.1	uncharacterized protein K02A2.6 [Lingula anatina]	85	1267	0	34.66	1232
19763-Caligus.00g094590.m01	868	1191	468	XP_011421530.1	PREDICTED: uncharacterized protein K02A2.6-like [Crassostrea gigas]	29	359	1.55614e-49	36.01	336
19763-Caligus.00g094620.m01	3	237	150	XP_022909137.1	uncharacterized protein LOC111420393 [Onthophagus taurus]	10	250	7.29047e-09	26.07	257
19763-Caligus.00g094630.m01	169	231	154	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	1	63	4.36236e-12	46.03	63
19763-Caligus.00g094660.m01	20	177	224	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	156	4.27494e-20	43.40	159
19763-Caligus.00g094670.m01	295	367	198	XP_023326834.1	signal-induced proliferation-associated 1-like protein 2 [Eurytemora affinis]	146	219	2.08876e-15	63.51	74
19763-Caligus.00g094680.m01	191	491	433	XP_020297641.1	uncharacterized protein LOC109862121 [Pseudomyrmex gracilis]	208	496	5.61991e-44	40.07	307
19763-Caligus.00g094710.m01	38	268	939	XP_023321775.1	protein-methionine sulfoxide oxidase mical3b-like [Eurytemora affinis]	14	245	1.93852e-117	72.41	232
19763-Caligus.00g094720.m01	41	159	207	XP_014486660.1	PREDICTED: uncharacterized protein LOC106750673 isoform X1 [Dinoponera quadriceps]	3	121	4.07281e-19	42.02	119
19763-Caligus.00g094730.m01	866	985	196	XP_011672873.1	PREDICTED: protein-methionine sulfoxide oxidase MICAL3 isoform X2 [Strongylocentrotus purpuratus]	30	126	3.94078e-16	43.33	120
19763-Caligus.00g094740.m01	140	220	151	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	19	99	4.70851e-11	39.51	81
19763-Caligus.00g094770.m01	109	276	524	XP_004212921.1	PREDICTED: uncharacterized protein LOC101234650 [Hydra vulgaris]	1	171	1.65495e-62	59.65	171
19763-Caligus.00g094790.m01	211	299	201	XP_026811283.1	histone-lysine N-methyltransferase SETMAR-like [Rhopalosiphum maidis]	3	90	5.29274e-18	45.16	93
19763-Caligus.00g094820.m01	46	121	144	XP_003370059.1	conserved hypothetical protein [Trichinella spiralis]	1	76	4.55564e-10	40.79	76
19763-Caligus.00g094840.m01	150	244	131	XP_023243692.1	uncharacterized protein LOC111641714 [Centruroides sculpturatus]	3	94	2.87149e-08	40.00	95
19763-Caligus.00g094850.m01	379	798	342	XP_014294909.1	PREDICTED: uncharacterized protein LOC106693135 [Microplitis demolitor]	1	430	3.22016e-32	29.74	454
19763-Caligus.00g094880.m01	62	133	229	XP_009011579.1	hypothetical protein HELRODRAFT_183749 [Helobdella robusta]	3	74	6.7954e-22	58.33	72
19763-Caligus.00g094890.m01	46	332	303	XP_024893734.1	uncharacterized protein LOC112468686 [Temnothorax curvispinosus]	10	304	5.0317e-29	31.05	306
19763-Caligus.00g094920.m01	22	275	419	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	242	588	4.96441e-44	33.72	347
19763-Caligus.00g094930.m01	985	1055	163	XP_013385929.1	uncharacterized protein K02A2.6-like [Lingula anatina]	1	68	1.05295e-12	40.85	71
19763-Caligus.00g094990.m01	366	1191	1625	XP_021354167.1	uncharacterized protein K02A2.6-like [Mizuhopecten yessoensis]	18	815	0	39.76	830
19763-Caligus.00g095010.m01	30	157	126	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	1	123	4.0283e-07	28.36	134
19763-Caligus.00g095020.m01	42	220	442	XP_023336053.1	uncharacterized protein LOC111707222 [Eurytemora affinis]	45	207	1.06741e-47	47.49	179
19763-Caligus.00g095040.m01	199	267	163	XP_003099082.1	hypothetical protein CRE_27721 [Caenorhabditis remanei]	10	77	1.49967e-12	43.48	69
19763-Caligus.00g095050.m01	1	146	243	XP_022327833.1	protein PTHB1-like [Crassostrea virginica]	1	134	1.46245e-22	41.22	148
19763-Caligus.00g095060.m01	234	316	182	XP_022256540.1	protein PTHB1-like [Limulus polyphemus]	1	87	4.41132e-15	41.38	87
19763-Caligus.00g095070.m01	2	157	199	XP_023334278.1	protein PTHB1-like isoform X2 [Eurytemora affinis]	11	144	1.51975e-16	34.15	164
19763-Caligus.00g095120.m01	113	226	303	XP_023320561.1	eukaryotic translation initiation factor 3 subunit G-like [Eurytemora affinis]	26	145	1.24459e-31	58.68	121
19763-Caligus.00g095160.m01	721	806	141	XP_004923891.2	uncharacterized protein K02A2.6 [Bombyx mori]	1	86	1.40899e-09	42.53	87
19763-Caligus.00g095180.m01	29	85	128	XP_026332209.1	uncharacterized protein LOC113239419 [Hyposmocoma kahamanoa]	23	79	1.7711e-08	40.35	57
19763-Caligus.00g095210.m01	13	253	632	XP_013171219.1	PREDICTED: general transcription factor II-I repeat domain-containing protein 2B-like [Papilio xuthus]	1	241	8.36063e-78	55.19	241
19763-Caligus.00g095250.m01	168	241	124	XP_026319276.1	uncharacterized protein LOC113229810 [Hyposmocoma kahamanoa]	1	72	2.0511e-07	35.14	74
19763-Caligus.00g095260.m01	413	479	175	XP_012164720.1	uncharacterized protein LOC105665828 [Bombus terrestris]	6	71	4.95787e-13	52.24	67
19763-Caligus.00g095270.m01	16	237	397	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	210	1.26726e-44	38.74	222
19763-Caligus.00g095280.m01	70	132	172	XP_002646482.1	Hypothetical protein CBG19457, partial [Caenorhabditis briggsae]	3	65	2.94772e-15	49.21	63
19763-Caligus.00g095300.m01	339	411	307	XP_009017580.1	hypothetical protein HELRODRAFT_172670 [Helobdella robusta]	1	73	4.75927e-33	71.23	73
19763-Caligus.00g095310.m01	901	1432	1429	XP_023320107.1	DNA polymerase alpha catalytic subunit-like [Eurytemora affinis]	2	527	0	54.92	539
19763-Caligus.00g095320.m01	321	414	258	XP_023320107.1	DNA polymerase alpha catalytic subunit-like [Eurytemora affinis]	1	87	2.19994e-25	50.00	94
19763-Caligus.00g095330.m01	1	95	243	XP_023320107.1	DNA polymerase alpha catalytic subunit-like [Eurytemora affinis]	1	88	3.45765e-21	50.53	95
