Entry	Entry name	Protein names	Gene ontology (biological process)
Q8HZD9	TNFA_PANTR	"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]"	extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; immune response [GO:0006955]; necroptotic signaling pathway [GO:0097527]; negative regulation of protein complex disassembly [GO:0043242]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein complex disassembly [GO:0043243]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Q8IDN0	PFS47_PLAF7	Female gametocyte surface protein P47	evasion or tolerance of host immune response [GO:0020012]; modulation by symbiont of host cellular process [GO:0044068]
Q84L30	RD23D_ARATH	Ubiquitin receptor RAD23d (AtRAD23d) (Putative DNA repair protein RAD23-4) (RAD23-like protein 4) (AtRAD23-4)	nucleotide-excision repair [GO:0006289]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to cold [GO:0009409]
A2YD22	MLOH1_ORYSI	MLO protein homolog 1 (OsMLO1)	defense response [GO:0006952]; response to biotic stimulus [GO:0009607]
Q641Y2	NDUS2_RAT	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)"	mitochondrial ATP synthesis coupled electron transport [GO:0042775]; response to oxidative stress [GO:0006979]
Q6FLB1	SPT6_CANGA	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; chromatin maintenance [GO:0070827]; chromatin remodeling [GO:0006338]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleobase-containing compound metabolic process [GO:0006139]; nucleosome assembly [GO:0006334]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; regulation of histone H3-K36 methylation [GO:0000414]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of nucleosome density [GO:0060303]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]
Q9LY61	HSPR1_ARATH	Nematode resistance protein-like HSPRO1 (AKINbetagamma-interacting protein 1) (Ortholog of sugar beet HS1 PRO-1 protein 1) (Protein Hs1pro-1)	defense response [GO:0006952]; tryptophan catabolic process to kynurenine [GO:0019441]
Q9LS40	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1 (AtASPG1) (EC 3.4.23.-)	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to abscisic acid [GO:0009737]; response to water deprivation [GO:0009414]; systemic acquired resistance [GO:0009627]
Q13075	BIRC1_HUMAN	Baculoviral IAP repeat-containing protein 1 (Neuronal apoptosis inhibitory protein)	inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of neuron apoptotic process [GO:0043524]; nervous system development [GO:0007399]
Q8L7L8	TRP1_ARATH	Telomere repeat-binding protein 1 (AtTRP1)	ethylene-activated signaling pathway [GO:0009873]; response to auxin [GO:0009733]; response to cadmium ion [GO:0046686]; response to ethylene [GO:0009723]; response to gibberellin [GO:0009739]; response to jasmonic acid [GO:0009753]; response to salicylic acid [GO:0009751]; response to salt stress [GO:0009651]
Q80TD3	FNIP2_MOUSE	Folliculin-interacting protein 2 (FNIP1-like protein) (O6-methylguanine-induced apoptosis 1 protein)	intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of mitochondrion organization [GO:0010823]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein complex assembly [GO:0031334]; protein phosphorylation [GO:0006468]; regulation of protein phosphorylation [GO:0001932]
Q5ZJL9	SAMH1_CHICK	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-)	DNA strand resection involved in replication fork processing [GO:0110025]; RNA phosphodiester bond hydrolysis [GO:0090501]; cellular response to DNA damage stimulus [GO:0006974]; dATP catabolic process [GO:0046061]; dGTP catabolic process [GO:0006203]; defense response to virus [GO:0051607]; deoxyribonucleotide catabolic process [GO:0009264]; double-strand break repair via homologous recombination [GO:0000724]; innate immune response [GO:0045087]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein homotetramerization [GO:0051289]; regulation of innate immune response [GO:0045088]; somatic hypermutation of immunoglobulin genes [GO:0016446]
Q96PZ2	F111A_HUMAN	Protein FAM111A	DNA replication [GO:0006260]; defense response to virus [GO:0051607]; negative regulation of viral genome replication [GO:0045071]; viral process [GO:0016032]
B8HFJ3	DNLJ1_PSECP	DNA ligase 1 (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)] 1)	DNA repair [GO:0006281]; DNA replication [GO:0006260]
P36370	TAP1_RAT	Antigen peptide transporter 1 (APT1) (ATP-binding cassette sub-family B member 2) (Peptide transporter TAP1)	"adaptive immune response [GO:0002250]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; peptide antigen transport [GO:0046968]; peptide transport [GO:0015833]; protection from natural killer cell mediated cytotoxicity [GO:0042270]; protein transport [GO:0015031]"
A8GLV2	RECF_RICAH	DNA replication and repair protein RecF	DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]
Q9C1W9	DNLI3_SCHPO	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; Okazaki fragment processing involved in mitotic DNA replication [GO:1903461]; lagging strand elongation [GO:0006273]
O77229	CATA_DICDI	Catalase-A (EC 1.11.1.6)	hydrogen peroxide catabolic process [GO:0042744]; response to curcumin [GO:1904643]; response to hydrogen peroxide [GO:0042542]; response to methanol [GO:0033986]; response to oxidative stress [GO:0006979]
Q1RMU2	CYLD_BOVIN	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment [GO:0043369]; Wnt signaling pathway [GO:0016055]; homeostasis of number of cells [GO:0048872]; innate immune response [GO:0045087]; necroptotic process [GO:0070266]; negative regulation of JNK cascade [GO:0046329]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of p38MAPK cascade [GO:1903753]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein K63-linked deubiquitination [GO:0070536]; protein deubiquitination [GO:0016579]; protein linear deubiquitination [GO:1990108]; regulation of B cell differentiation [GO:0045577]; regulation of cilium assembly [GO:1902017]; regulation of inflammatory response [GO:0050727]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of mitotic cell cycle [GO:0007346]; regulation of necroptotic process [GO:0060544]; regulation of protein binding [GO:0043393]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; ripoptosome assembly involved in necroptotic process [GO:1901026]; ubiquitin-dependent protein catabolic process [GO:0006511]"
Q7XA40	RGA3_SOLBU	Putative disease resistance protein RGA3 (Blight resistance protein B149) (RGA1-blb)	defense response [GO:0006952]
Q8WXI8	CLC4D_HUMAN	C-type lectin domain family 4 member D (C-type lectin superfamily member 8) (C-type lectin-like receptor 6) (CLEC-6) (CD antigen CD368)	Fc-gamma receptor signaling pathway [GO:0038094]; T cell differentiation involved in immune response [GO:0002292]; adaptive immune response [GO:0002250]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; neutrophil degranulation [GO:0043312]; positive regulation of myeloid dendritic cell activation [GO:0030887]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]
Q47690	MMUM_ECOLI	Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)	S-methylmethionine metabolic process [GO:0033477]; cellular response to DNA damage stimulus [GO:0006974]; methionine biosynthetic process [GO:0009086]
P9WMQ1	UVRD1_MYCTU	ATP-dependent DNA helicase UvrD1 (EC 3.6.4.12)	DNA repair [GO:0006281]; DNA unwinding involved in DNA replication [GO:0006268]; UV protection [GO:0009650]; double-strand break repair [GO:0006302]; negative regulation of strand invasion [GO:0060543]; recombinational repair [GO:0000725]
Q10588	BST1_HUMAN	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157)	NAD metabolic process [GO:0019674]; humoral immune response [GO:0006959]; neutrophil degranulation [GO:0043312]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell population proliferation [GO:0008284]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of calcium-mediated signaling [GO:0050848]; regulation of cell-matrix adhesion [GO:0001952]; regulation of cellular extravasation [GO:0002691]; regulation of inflammatory response [GO:0050727]; regulation of integrin-mediated signaling pathway [GO:2001044]; regulation of neutrophil chemotaxis [GO:0090022]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; regulation of superoxide metabolic process [GO:0090322]; signal transduction [GO:0007165]
P97526	NF1_RAT	Neurofibromin (Neurofibromatosis-related protein NF-1)	MAPK cascade [GO:0000165]; Ras protein signal transduction [GO:0007265]; Schwann cell development [GO:0014044]; Schwann cell differentiation [GO:0014037]; actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to nerve growth factor stimulus [GO:1990090]; cerebral cortex development [GO:0021987]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; heart development [GO:0007507]; liver development [GO:0001889]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of protein kinase activity [GO:0006469]; osteoblast differentiation [GO:0001649]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase signaling [GO:0014065]; pigmentation [GO:0043473]; positive regulation of GTPase activity [GO:0043547]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of neuron projection development [GO:0010976]; regulation of GTPase activity [GO:0043087]; regulation of angiogenesis [GO:0045765]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of glial cell differentiation [GO:0045685]; regulation of neuron differentiation [GO:0045664]; response to hypoxia [GO:0001666]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; sympathetic nervous system development [GO:0048485]; visual learning [GO:0008542]; wound healing [GO:0042060]
Q02759	LOX15_RAT	"Arachidonate 15-lipoxygenase (15-LOX) (EC 1.13.11.33) (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate omega-6 lipoxygenase)"	apoptotic cell clearance [GO:0043277]; arachidonic acid metabolic process [GO:0019369]; bone mineralization [GO:0030282]; cellular response to calcium ion [GO:0071277]; cellular response to interleukin-13 [GO:0035963]; fatty acid oxidation [GO:0019395]; hepoxilin biosynthetic process [GO:0051122]; icosanoid biosynthetic process [GO:0046456]; lipoxin A4 biosynthetic process [GO:2001303]; lipoxygenase pathway [GO:0019372]; negative regulation of adaptive immune response [GO:0002820]; negative regulation of cell volume [GO:0045794]; ossification [GO:0001503]; phosphatidylethanolamine biosynthetic process [GO:0006646]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; regulation of engulfment of apoptotic cell [GO:1901074]; regulation of membrane potential [GO:0042391]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; response to endoplasmic reticulum stress [GO:0034976]; wound healing [GO:0042060]
Q9VVU5	CSN1_DROME	COP9 signalosome complex subunit 1b (Dch1-2) (Signalosome subunit 1b)	female germ-line stem cell population maintenance [GO:0036099]; germ cell development [GO:0007281]; germarium-derived cystoblast division [GO:0048142]; male germ-line cyst encapsulation [GO:0048140]; multicellular organism development [GO:0007275]; protein deneddylation [GO:0000338]; protein stabilization [GO:0050821]
Q1L864	JGN1B_DANRE	Protein jagunal homolog 1-B	defense response to fungus [GO:0050832]; endoplasmic reticulum organization [GO:0007029]; granulocyte colony-stimulating factor signaling pathway [GO:0038158]; neutrophil differentiation [GO:0030223]; neutrophil mediated immunity [GO:0002446]; neutrophil migration [GO:1990266]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
Q8BGE7	TRIM6_MOUSE	Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM6)	"cellular response to interferon-beta [GO:0035458]; cellular response to virus [GO:0098586]; free ubiquitin chain polymerization [GO:0010994]; negative regulation of gene expression [GO:0010629]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of viral genome replication [GO:0045071]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of gene expression [GO:0010628]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein polyubiquitination [GO:0000209]; protein trimerization [GO:0070206]; response to lipopolysaccharide [GO:0032496]"
Q42687	ATPD_CHLRE	"ATP synthase delta chain, chloroplastic (F-ATPase delta chain)"	ATP synthesis coupled proton transport [GO:0015986]; defense response to bacterium [GO:0042742]; photosynthetic electron transport in photosystem I [GO:0009773]; photosynthetic electron transport in photosystem II [GO:0009772]; response to cold [GO:0009409]; response to cytokinin [GO:0009735]
P25033	HEMO_HYACE	Hemolin (Hemocyte aggregation inhibitor) (Protein P4)	innate immune response [GO:0045087]
Q9WUB9	MARCO_MESAU	Macrophage receptor MARCO (Macrophage receptor with collagenous structure)	innate immune response [GO:0045087]
Q8W5B1	VRN2_ARATH	Polycomb group protein VERNALIZATION 2	regulation of gene expression by genetic imprinting [GO:0006349]; response to cold [GO:0009409]; vernalization response [GO:0010048]
Q7M806	UVRB_WOLSU	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	SOS response [GO:0009432]; nucleotide-excision repair [GO:0006289]
Q6TAW2	SERP2_MOUSE	Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2)	endoplasmic reticulum unfolded protein response [GO:0030968]; protein glycosylation [GO:0006486]; protein transport [GO:0015031]
Q1RIV1	HTPG_RICBR	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	protein folding [GO:0006457]
Q940K0	DRL15_ARATH	Probable disease resistance protein At1g61180	defense response [GO:0006952]
P15203	TGFB3_PIG	Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-3 (TGF-beta-3)]	"SMAD protein signal transduction [GO:0060395]; cell development [GO:0048468]; cell-cell junction organization [GO:0045216]; detection of hypoxia [GO:0070483]; face morphogenesis [GO:0060325]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of macrophage cytokine production [GO:0010936]; ossification involved in bone remodeling [GO:0043932]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of MAPK cascade [GO:0043408]; regulation of apoptotic process [GO:0042981]; regulation of cell population proliferation [GO:0042127]; response to hypoxia [GO:0001666]; response to progesterone [GO:0032570]; salivary gland morphogenesis [GO:0007435]; secondary palate development [GO:0062009]; transforming growth factor beta receptor signaling pathway [GO:0007179]"
Q38861	XPB1_ARATH	General transcription and DNA repair factor IIH helicase subunit XPB1 (TFIIH subunit XPB) (EC 3.6.4.12) (ERCC3 homolog 1) (Protein araXPB) (RAD25 homolog 1) (AtXPB1) (XPB homolog 1)	"nucleotide-excision repair, DNA incision [GO:0033683]; protein phosphorylation [GO:0006468]; response to UV [GO:0009411]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]"
Q54R52	ABCAA_DICDI	ABC transporter A family member 10 (ABC transporter ABCA.10)	lipid transport [GO:0006869]; sorocarp morphogenesis [GO:0031288]
Q63120	MRP2_RAT	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2) (EC 7.6.2.2)	antibiotic metabolic process [GO:0016999]; benzylpenicillin metabolic process [GO:1901086]; bile acid and bile salt transport [GO:0015721]; canalicular bile acid transport [GO:0015722]; cellular chloride ion homeostasis [GO:0030644]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; drug transmembrane transport [GO:0006855]; female pregnancy [GO:0007565]; mercury ion transport [GO:0015694]; organic anion transport [GO:0015711]; prostaglandin transport [GO:0015732]; response to antineoplastic agent [GO:0097327]; response to arsenic-containing substance [GO:0046685]; response to drug [GO:0042493]; response to estrogen [GO:0043627]; response to glucagon [GO:0033762]; response to heat [GO:0009408]; response to lipopolysaccharide [GO:0032496]; response to methotrexate [GO:0031427]; response to oxidative stress [GO:0006979]; response to steroid hormone [GO:0048545]; thyroid hormone transport [GO:0070327]; transmembrane transport [GO:0055085]
O80888	M3K17_ARATH	Mitogen-activated protein kinase kinase kinase 17 (EC 2.7.11.25)	abscisic acid-activated signaling pathway [GO:0009738]; activation of protein kinase activity [GO:0032147]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
A6QTX7	ATG18_AJECN	Autophagy-related protein 18	autophagy [GO:0006914]; protein transport [GO:0015031]
Q2PZH4	TLR2_BUBBU	Toll-like receptor 2 (CD antigen CD282)	MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; cellular response to diacyl bacterial lipopeptide [GO:0071726]; cellular response to triacyl bacterial lipopeptide [GO:0071727]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of inflammatory response [GO:0050729]; regulation of cytokine secretion [GO:0050707]; toll-like receptor 2 signaling pathway [GO:0034134]
Q1WUN7	FPG_LACS1	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]
P34722	KPC1_CAEEL	Protein kinase C-like 1 (PKC) (EC 2.7.11.13) (Tetradecanoyl phorbol acetate-resistant protein 1)	defense response to fungus [GO:0050832]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of antimicrobial peptide production [GO:0002225]; positive regulation of axon regeneration [GO:0048680]; positive regulation of transcription from RNA polymerase II promoter involved in defense response to fungus [GO:1901244]; regulation of defense response to fungus [GO:1900150]; response to wounding [GO:0009611]
O95819	M4K4_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAPK cascade [GO:0000165]; activation of protein kinase activity [GO:0032147]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061179]; negative regulation of neuron projection regeneration [GO:0070571]; neuron projection morphogenesis [GO:0048812]; positive regulation of ARF protein signal transduction [GO:0032014]; positive regulation of GTPase activity [GO:0043547]; positive regulation of adherens junction organization [GO:1903393]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of keratinocyte migration [GO:0051549]; protein phosphorylation [GO:0006468]; regulation of JNK cascade [GO:0046328]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
P97471	SMAD4_MOUSE	Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4 homolog) (SMAD family member 4) (SMAD 4) (Smad4)	"BMP signaling pathway [GO:0030509]; ERK1 and ERK2 cascade [GO:0070371]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; anatomical structure morphogenesis [GO:0009653]; anterior/posterior pattern specification [GO:0009952]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cardiac septum development [GO:0003279]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular iron ion homeostasis [GO:0006879]; cellular response to glucose stimulus [GO:0071333]; developmental growth [GO:0048589]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endoderm development [GO:0007492]; endothelial cell activation [GO:0042118]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; female gonad development [GO:0008585]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation [GO:0007369]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular signal transduction [GO:0035556]; kidney development [GO:0001822]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; male gonad development [GO:0008584]; mesendoderm development [GO:0048382]; mesoderm development [GO:0007498]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate commitment [GO:0048663]; osteoblast differentiation [GO:0001649]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; pri-miRNA transcription by RNA polymerase II [GO:0061614]; protein homotrimerization [GO:0070207]; regulation of binding [GO:0051098]; regulation of cell population proliferation [GO:0042127]; regulation of hair follicle development [GO:0051797]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of transforming growth factor beta2 production [GO:0032909]; response to hypoxia [GO:0001666]; response to transforming growth factor beta [GO:0071559]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; tissue morphogenesis [GO:0048729]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]; wound healing [GO:0042060]"
Q9SRW9	CSLD5_ARATH	Cellulose synthase-like protein D5 (AtCslD5) (EC 2.4.1.-)	cell plate assembly [GO:0000919]; cell wall biogenesis [GO:0042546]; cell wall organization [GO:0071555]; cellulose biosynthetic process [GO:0030244]; plant-type primary cell wall biogenesis [GO:0009833]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; shoot system development [GO:0048367]
Q0BV35	DNLJ_GRABC	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q8UJ65	RECF_AGRFC	DNA replication and repair protein RecF	DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]
Q8LGG8	USPAL_ARATH	Universal stress protein A-like protein	
P55035	PSMD4_DROME	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (54 kDa subunit of mu particle) (Multiubiquitin chain-binding protein) (p54)	Toll signaling pathway [GO:0008063]; circadian rhythm [GO:0007623]; mitotic sister chromatid segregation [GO:0000070]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q40476	ERF1_TOBAC	Ethylene-responsive transcription factor 1 (NtERF1) (Ethylene-responsive element-binding factor 1) (EREBP-1)	defense response [GO:0006952]; ethylene-activated signaling pathway [GO:0009873]
